separation_um,integrated_value
0.0,2965183.232331627
10.0,2830662.280549774
20.0,2478565.061979356
30.0,2042076.3176898872
40.0,1681789.0369803975
50.0,1521926.4728888366
60.0,1604124.0445592972
70.0,1877015.2792874738
80.0,2223429.7475291034
90.0,2510855.5022995947
100.0,2642300.2369459625
110.0,2587057.6339123826
120.0,2381994.985998413
130.0,2107732.432345604
140.0,1853784.492353749
150.0,1688451.8386467102
160.0,1643498.1358552808
170.0,1714601.7614141866
180.0,1871453.6968155936
190.0,2069514.9402930182
200.0,2258691.1113204225
210.0,2389378.078640072
220.0,2419521.310720466
230.0,2325260.17264996
240.0,2113213.7586830305
250.0,1827837.3805646654
260.0,1546263.9391030448
270.0,1357348.057070313
280.0,1329665.2142176563
290.0,1480756.0405348123
300.0,1762354.8636148477
310.0,2071395.7794857787
320.0,2285771.389724862
330.0,2311997.1917269873
340.0,2124988.0470270514
350.0,1781966.1626446277
360.0,1402868.2760828712
370.0,1124079.865297274
380.0,1044299.8111299153
390.0,1185214.1465679146
400.0,1483514.1787896715
410.0,1817351.0465459977
420.0,2055643.0436435777
430.0,2109294.8881180943
440.0,1963346.3774601598
450.0,1678022.4627791988
460.0,1360277.5427328586
470.0,1119519.6365073652
480.0,1026609.5978535865
490.0,1092107.6355517404
500.0,1270156.298276871
510.0,1483115.842265638
520.0,1654197.4224376532
530.0,1733942.7904752297
540.0,1711301.3017854604
550.0,1608223.6801786746
560.0,1463935.738533509
570.0,1318128.759424214
580.0,1200379.7147210105
590.0,1127954.6444994935
600.0,1108967.302123385
610.0,1145538.3592454353
620.0,1233153.285524525
630.0,1356562.599701297
640.0,1486508.564879435
650.0,1582609.9418468634
660.0,1604885.4208397297
670.0,1530990.972208077
680.0,1371351.2484278383
690.0,1173125.4007897088
700.0,1007780.7086023232
710.0,944647.7208892845
720.0,1020592.3990517675
730.0,1219683.7750106896
740.0,1473910.4600998987
750.0,1687227.8854672536
760.0,1774289.8279589962
770.0,1697413.1983501513
780.0,1484815.7250803537
790.0,1220782.733753136
800.0,1010981.4577086252
810.0,937805.5919316139
820.0,1025687.0890050842
830.0,1232057.4839473616
840.0,1467876.6176608119
850.0,1637927.7685587762
860.0,1682036.0956875393
870.0,1598402.540192347
880.0,1439281.0236555806
890.0,1282708.954805579
900.0,1195192.54700846
910.0,1203661.9766201465
920.0,1289206.5684344938
930.0,1403375.9365135648
940.0,1496441.9390022438
950.0,1541839.9948449861
960.0,1544461.4901594836
970.0,1530287.814800893
980.0,1525417.408022172
990.0,1537983.013649649
1000.0,1553919.5420233458
1010.0,1548694.5330189974
1020.0,1507182.32667194
